RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
90,13,131999,206278.5,35476.00,11635,88589.14,444.222,4,39771.98,116296368,,26358,1205.890,335.100,131999,4970.850,19.763,,,
90,14,129701,219677.8,41618.92,13273,100973.1,31466.73,2,27575.76,37650813,,24215,1154.818,18.413,129701,4943.745,21.710,,,
90,15,134270,227694.9,49824.61,13817,105039.3,285.166,2,19750.10,108382878,,29059,1183.227,3.526,134270,5139.310,33.959,,,
90,16,6481,8926.567,11.670,17,113.341,0.873,,,,,19,0.790,0.000,6481,291.619,0.019,,,
90,17,4938,6306.729,6.136,,,,,,,,,,,4938,233.445,0.003,,,
90,18,3598,7359.346,2811.261,,,,,,,,,,,3598,247.866,0.111,,,
90,19,3088,5833.265,13.228,,,,,,,,,,,3088,199.565,0.004,,,
80,0,436,861.354,0.768,,,,,,,,,,,436,27.842,0.000,,,
80,1,654,1046.669,1.880,,,,,,,,,,,654,37.484,0.000,,,
80,2,602,1130.937,4.107,14,121.458,13.294,,,,,18,1.338,0.000,602,34.532,0.000,,,
80,3,224,394.337,1.772,,,,,,,,,,,224,27.656,1.029,,,
80,4,300,551.382,1.364,,,,,,,,,,,300,17.786,0.000,,,
80,5,1021,1523.187,0.965,,,,,,,,,,,1021,63.182,0.083,,,
80,6,7766,10916.35,351.726,,,,,,,,,,,7766,326.160,0.123,,,
80,7,881,1253.711,1.186,,,,2992,1644916,44342732,,,,,881,39.894,0.000,,,
80,8,164567,511699.4,173372.4,47738,359547.4,6752.171,10,216027.1,259066245,,59190,2305.380,4.462,164567,6622.608,67.870,,,
80,9,169233,502587.7,550409.2,44767,346794.8,,6,146863.3,174498991,,63704,2525.806,8.528,169233,6618.417,8772.178,,,
80,10,167402,514621.0,158661.0,46852,362203.5,71007.20,8,193595.4,293540794,,62227,2468.546,11.991,167402,6288.102,134.611,,,
80,11,176465,533946.0,362870.1,49660,373733.1,18713.85,8,118334.9,162419962,,68559,3156.046,123.555,176465,6725.666,121.673,,,
80,12,167280,511218.5,612229.0,46884,351433.2,5987.563,8,177537.4,163631044,,62174,2700.577,655.241,167280,6911.792,144.644,,,
80,13,167879,523583.7,110190.2,48308,370180.0,12678.18,9,197363.0,300972801,,62732,2472.513,9.241,167879,6412.859,101.895,,,
80,14,166427,519569.5,112476.1,47665,366211.5,3217.103,5,143943.0,569961566,,61062,2447.895,74.133,166427,6685.657,87.790,,,
80,15,160611,508707.4,2544006,47523,358694.4,3577.167,7,188703.2,249616970,,55335,2235.135,8.515,160611,5989.508,35.112,,,
80,16,9030,12276.81,15.965,12,90.191,2.811,,,,,16,0.677,0.000,9030,381.679,0.006,,,
80,17,5586,6744.177,21.781,8,59.133,3.845,,,,,9,0.379,0.000,5586,282.060,0.016,,,
80,18,4235,7863.406,28.887,,,,,,,,,,,4235,280.339,0.006,,,
80,19,2455,4711.677,4.673,,,,,,,,,,,2455,164.666,0.002,,,
70,0,1465,2852.439,1.526,7,50.976,1.946,,,,,8,0.314,0.000,1465,94.850,0.000,,,
70,1,1469,2442.515,2.379,14,247.342,1.721,,,,,14,1.028,0.001,1469,101.729,0.161,,,
70,2,1309,2037.397,1.911,7,56.299,1.855,,,,,8,0.611,0.000,1309,73.177,0.001,,,
70,3,886,1580.001,1.503,,,,,,,,,,,886,54.020,0.000,,,
