RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
80,4,756869,1757050,160199222,38516,676959.6,17560.43,57,610280.1,84328883,,292599,335286.6,296781.6,756868,27373.18,3169.619,,,
80,5,762818,1770611,2931461,39105,686948.2,194606.9,67,577108.4,62004417,,298679,328035.2,255231.7,762818,26885.02,1090.042,,,
80,6,769973,1814176,6649496,40525,707546.7,18857.50,57,506823.7,64286780,,307465,343285.1,302131.6,769973,27157.34,3275.904,,,
80,7,1885,2734.754,2.009,,,,2688,2893531,736696.7,,,,,1885,79.302,0.000,,,
80,8,4592,6547.308,6.528,,,,,,,,,,,4592,191.873,0.001,,,
80,9,5218,6984.954,22.929,,,,,,,,,,,5218,211.732,0.004,,,
80,10,3900,5260.399,18.427,3,61.372,23.715,,,,,18,17.470,9.230,3900,203.198,0.904,,,
80,11,242,440.589,0.653,,,,,,,,,,,242,15.001,0.000,,,
80,12,495,705.072,0.468,,,,,,,,,,,495,23.926,0.000,,,
80,13,271,546.896,0.593,,,,,,,,,,,271,20.497,0.006,,,
80,14,634,1043.565,0.670,,,,,,,,,,,634,41.338,0.001,,,
80,15,1103,1702.866,2.605,,,,,,,,,,,1103,82.640,0.251,,,
80,16,443,1005.242,8.319,,,,,,,,,,,443,30.327,0.004,,,
80,17,1563,2160.174,1.870,,,,,,,,7,0.552,0.001,1563,64.755,0.000,,,
80,18,5198,6970.729,29.789,,,,,,,,,,,5198,226.486,0.007,,,
80,19,3977,5437.895,13.323,5,97.566,11.138,,,,,18,0.734,0.000,3977,179.293,0.323,,,
70,0,5473,8150.477,8.718,,,,,,,,,,,5473,231.084,0.001,,,
70,1,554883,619383.2,1116861,4960,87660.90,235.772,46,394520.2,76164579,,37941,44699.24,16300.56,554883,19810.00,2286.924,,,
70,2,490990,770393.6,674165.9,,,,,,,,4,0.155,0.000,490990,26499.44,46444.20,,,
70,3,559347,622962.9,886336.5,5488,95333.56,12301.68,43,379564.8,85669106,,42747,44142.78,6142.534,559347,20601.41,3435.610,,,
70,4,553615,612333.1,8874574,4797,85272.95,195.602,45,396647.6,69636635,,36591,44942.08,3356.422,553615,20778.78,26509.89,,,
70,5,553299,608019.4,495339.3,4728,83444.19,327.626,51,406473.2,65814636,,36017,42418.00,87576.97,553299,18912.40,759.593,,,
70,6,786700,1089776,869990.7,34253,317406.8,35118.44,66,527794.0,62697006,,276316,69971.82,38529.58,786700,28396.22,1234.144,,,
70,7,1687,2509.296,4.323,2,20.578,31.157,2210,2321050,31059119,,8,6.141,4.230,1687,68.265,0.000,,,
70,8,3387,4524.202,6.032,2,22.200,22.525,,,,,17,5.232,1.180,3387,142.782,0.001,,,
70,9,4046,5519.880,16.086,,,,,,,,,,,4046,205.304,0.563,,,
70,10,2879,4037.303,2.938,,,,,,,,,,,2879,126.843,0.000,,,
